player_name,YEAR,OVERALL,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,label
Cade Cunningham,2021.0,1,27,78.0,104.1,28.6,51.6,57.46,2.3,16.2,20.2,22.0,132,156,0.846,114,246,0.463,62,155,0.4,2.3,2.5,38.9,0.84543827,67.0,108.0,46.0,137.0,0.6204,0.3358,7.0,9.0,0.7778,1.0,96.0766,89.9995,4.47388,207.722,6.28955,3.1998,3.08975,7.41636,35.4074,4.87999,2.53637,0.7037,5.4815,1
Evan Mobley,2021.0,3,33,83.6,119.4,23.4,59.5,62.4,9.7,18.8,14.1,16.6,134,193,0.694,185,301,0.615,12,40,0.3,8.7,1.4,56.6,1.06756154,113.0,144.0,72.0,157.0,0.7847,0.4586,63.0,66.0,0.9545,3.0,90.38,84.147,5.00113,256.359,13.0012,5.53482,7.46638,12.6405,33.9394,7.388,5.25248,2.7273,5.9394,1
Scottie Barnes,2021.0,4,24,58.9,107.5,25.3,53.1,54.78,7.4,11.0,31.6,22.4,41,66,0.621,87,155,0.561,11,40,0.275,2.1,3.4,33.8,1.66102588,61.0,89.0,26.0,66.0,0.6854,0.3939,19.0,21.0,0.9048,4.0,97.4474,91.9916,3.0024,119.77,8.27087,4.94571,3.32516,7.19008,24.7917,4.19499,2.9951,1.4583,2.5417,1
Jalen Suggs,2021.0,5,30,67.5,110.4,25.3,55.9,59.39,2.7,18.0,23.7,21.5,86,114,0.754,119,203,0.586,35,104,0.337,1.1,3.5,37.1,1.54546071,97.0,152.0,21.0,49.0,0.6382,0.4286,9.0,10.0,0.9,5.0,90.185,85.8594,4.13889,209.261,9.32632,4.85317,4.47315,8.4834,28.9333,4.37217,4.11123,0.6,4.7333,1
Franz Wagner,2021.0,8,28,78.8,119.5,19.4,54.4,58.65,2.9,19.6,17.4,12.5,66,79,0.835,89,158,0.563,35,102,0.343,3.2,2.3,30.4,2.33335933,63.0,93.0,26.0,65.0,0.6774,0.4,11.0,11.0,1.0,8.0,91.2358,84.4309,4.68658,201.179,11.3188,5.41689,5.9019,10.6092,31.6786,5.27693,5.33229,0.7143,5.8214,2
Davion Mitchell,2021.0,9,30,80.8,122.1,21.6,61.3,62.0,1.7,8.1,28.3,20.1,43,66,0.652,95,168,0.565,63,141,0.447,1.3,3.4,21.4,2.26030492,70.0,111.0,25.0,57.0,0.6306,0.4386,2.0,2.0,1.0,9.0,95.1321,90.9567,4.07246,184.339,9.22088,7.12537,2.09551,9.52416,32.4667,6.38053,3.14363,0.4667,2.2,2
Ziaire Williams,2021.0,10,20,50.7,85.0,25.8,43.1,47.29,2.4,16.4,16.4,23.2,39,49,0.796,53,124,0.427,23,79,0.291,2.2,1.7,24.1,0.75862068,26.0,49.0,27.0,75.0,0.5306,0.36,10.0,11.0,0.9091,10.0,97.9783,92.0665,3.34408,110.371,0.164097,-1.89089,2.05499,-0.296141,27.9,-1.48173,1.18559,0.5,4.05,2
James Bouknight,2021.0,11,15,51.4,106.2,30.2,49.8,54.57,5.3,15.0,12.8,17.7,63,81,0.778,76,144,0.528,22,75,0.293,0.9,2.2,37.0,0.64285714,52.0,79.0,24.0,65.0,0.6582,0.3692,12.0,12.0,1.0,11.0,97.5146,92.9668,3.73664,85.7659,4.43505,3.90627,0.528775,7.92452,31.6667,6.1589,1.76562,1.5333,4.1333,3
Joshua Primo,2021.0,12,30,50.9,106.4,16.9,54.1,56.51,4.7,10.5,6.5,19.3,33,44,0.75,41,82,0.5,43,113,0.381,1.3,1.3,22.6,0.60971681,37.0,63.0,4.0,19.0,0.5873,0.2105,3.0,3.0,1.0,12.0,97.997,92.0733,2.73142,118.126,3.49621,1.81354,1.68267,2.45367,22.4667,1.34194,1.11173,1.0333,2.3333,3
Chris Duarte,2021.0,13,26,79.1,120.2,22.5,63.3,65.73,2.8,14.0,14.9,17.5,64,79,0.81,99,157,0.631,61,144,0.424,2.8,3.3,26.2,1.15256477,63.0,90.0,36.0,67.0,0.7,0.5373,14.0,15.0,0.9333,13.0,98.5419,92.1947,4.14586,179.834,9.33922,6.49636,2.84286,10.4076,34.0769,7.4533,2.95432,0.7692,3.8846,3
