PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1626161,Willie Cauley-Stein,C,,,,,,,2
1626169,Stanley Johnson,SF,,,,,,,2
1626163,Frank Kaminsky,C-PF,,,,,,,2
1626159,Justise Winslow,SF,,,,,,,2
1626167,Myles Turner,C-PF,,,,,,,3
1626168,Trey Lyles,PF,,,,,,,3
1626164,Devin Booker,SG,27.5,34.5,10.27,2.75,3.28,8,3
1626166,Cameron Payne,PG,29.75,35.5,10.9,2.93,3.28,0,3
1626179,Terry Rozier,PG-SG,33.0,38.0,10.84,2.84,3.15,7,4
1626173,Rashad Vaughn,SG,28.0,34.0,11.4,3.1,3.21,5,4
1626155,Sam Dekker,SF,25.5,34.5,10.64,2.96,3.28,5,4
1626170,Jerian Grant,PG,,,,,,,4
1626153,Delon Wright,PG,29.5,31.0,11.16,3.5,3.29,4,4
1626147,Justin Anderson,SF-SG,38.0,43.0,11.13,2.88,3.22,12,5
1626171,Bobby Portis,PF,25.0,31.5,11.78,3.28,3.56,5,5
1626178,Rondae Hollis-Jefferson,SF,32.0,38.0,10.41,3.19,3.12,13,5
1626145,Tyus Jones,PG,26.5,32.5,11.84,2.95,3.32,2,5
1626185,Jarell Martin,PF,28.5,35.0,11.2,2.97,3.27,19,5
1626191,Chris McCullough,PF,,,,,,,6
1626172,Kevon Looney,PF,,,,,,,6
1626149,Montrezl Harrell,PF,,,,,,,7
1626175,Jordan Mickey,PF,33.0,37.5,11.72,3.13,3.28,9,7
1626148,Anthony Brown,SF-SG,27.5,34.5,10.94,3.29,3.18,4,7
1626176,Rakeem Christmas,PF-C,29.0,32.0,11.6,3.3,3.47,9,8
1626158,Richaun Holmes,PF,32.5,36.0,11.24,3.31,3.32,15,8
1626192,Pat Connaughton,SG,37.5,44.0,10.58,3.08,3.2,13,9
1626152,Olivier Hanlan,PG-SG,28.0,34.0,11.41,3.12,3.25,19,9
1626150,Andrew Harrison,PG,26.5,33.0,11.2,,3.34,,9
1626194,Marcus Thornton,PG-SG,34.5,43.0,10.78,2.88,3.02,3,9
1626181,Norman Powell,SG,32.5,40.5,10.69,3.2,3.2,5,10
1626177,Dakari Johnson,C,22.5,25.0,11.76,2.94,3.62,4,10
1626227,Tyler Harvey,SG,26.0,28.5,10.56,2.93,3.44,1,11
1626183,Branden Dawson,PF,28.5,34.5,12.22,3.53,3.2,12,12
