PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1627759,Jaylen Brown,SG-SF,6' 5.25'',6' 6.75'',222.8,6' 11.75'',8' 6.5'',5.05,8.75,9.0,1
1627739,Kris Dunn,PG,6' 3'',6' 4.25'',,6' 9.5'',8' 4'',,,,1
1627741,Buddy Hield,SG,6' 3.75'',6' 5'',212.4,6' 9.25'',8' 5'',6.1,8.5,9.0,2
1627737,Marquese Chriss,PF,6' 8.75'',6' 10'',233,7' 0.25'',8' 9'',8.5,9.0,9.0,2
1627751,Jakob Poeltl,C,7' 0.25'',7' 1'',239,7' 2.75'',9' 3.5'',5.8,9.25,10.25,2
1627748,Thon Maker,PF,6' 11.75'',7' 0.75'',216,7' 3'',9' 2.5'',6.05,8.75,9.5,2
1627752,Taurean Prince,SF,6' 6.5'',6' 7.75'',220.2,6' 11.5'',8' 6'',6.45,9.0,8.5,3
1627756,Denzel Valentine,SG-SF,6' 4'',6' 5.75'',210.4,6' 10.75'',8' 6'',9.2,8.5,9.75,3
1627735,Wade Baldwin IV,PG,6' 2.5'',6' 4'',201.8,6' 11.25'',8' 4'',5.2,9.0,9.75,4
1627740,Henry Ellenson,PF,6' 10'',6' 11.5'',242,7' 2.25'',9' 0'',11.2,8.5,9.75,4
1627736,Malik Beasley,SG,6' 3.5'',6' 4.5'',189.8,6' 7'',8' 4.5'',6.9,8.5,9.0,4
1627747,Caris LeVert,SG,6' 5.75'',6' 7'',191,6' 10'',8' 5'',7.55,8.5,9.25,4
1627781,Malachi Richardson,SG-SF,6' 4.75'',6' 6.25'',199.6,7' 0'',8' 5.5'',7.0,8.75,10.0,5
1627744,Brice Johnson,PF,6' 9'',6' 10.5'',208.6,7' 0.5'',8' 10.5'',7.5,9.0,8.25,5
1627783,Pascal Siakam,PF,6' 8.25'',6' 9.5'',226.6,7' 3.25'',8' 11.5'',5.2,9.25,10.0,6
1627746,Skal Labissiere,PF-C,6' 10.5'',6' 11.75'',215.8,7' 2.5'',8' 9.5'',5.7,8.75,9.0,6
1627745,Damian Jones,C,6' 10.25'',6' 11.5'',243.6,7' 3.75'',8' 11'',6.55,8.75,10.5,6
1627738,Deyonta Davis,PF,6' 9.25'',6' 10.5'',237.2,7' 2.5'',9' 0.5'',9.7,9.0,9.25,7
1627767,Cheick Diallo,PF,6' 7.5'',6' 9'',218.6,7' 4.5'',8' 11.5'',5.6,8.5,9.75,7
1627755,Tyler Ulis,PG,5' 8.75'',5' 10'',149.2,6' 2'',7' 4.5'',5.2,7.5,7.5,7
1627763,Malcolm Brogdon,SG,6' 3.75'',6' 5.5'',223,6' 10.5'',8' 2'',5.4,9.0,10.25,8
1627778,Chinanu Onuaku,C,6' 9'',6' 10'',245.2,7' 2.75'',9' 0.5'',8.55,9.0,8.0,8
1627775,Patrick McCaw,PG-SG,6' 5.25'',6' 6.75'',180.8,6' 10'',8' 4.5'',4.7,8.75,8.75,8
1627754,Diamond Stone,C,6' 9'',6' 10.25'',254.4,7' 2.75'',9' 0.5'',12.85,8.5,7.75,8
1627757,Stephen Zimmerman,C,6' 10.25'',6' 11.75'',234,7' 3.25'',9' 0.5'',11.15,9.0,9.0,9
1627785,Isaiah Whitehead,PG-SG,6' 3.25'',6' 4.5'',210,6' 8.75'',8' 4'',9.25,8.5,8.75,9
1627753,Zhou Qi,PF-C,7' 1.25'',7' 2.25'',218.2,7' 7.75'',9' 4.5'',4.85,9.25,9.5,9
1627743,Demetrius Jackson,PG,6' 0'',6' 1.25'',193.8,6' 5.5'',7' 9'',6.5,8.25,9.0,9
1627774,Jake Layman,SF,6' 8'',6' 9.25'',208.6,6' 9.25'',8' 6'',7.1,8.25,9.25,10
1627771,Michael Gbinije,SG,6' 5.5'',6' 6.75'',204.6,6' 7.5'',8' 5'',5.4,8.0,9.0,10
1627777,Georges Niang,PF,6' 6.75'',6' 8.5'',230.8,6' 10'',8' 7'',10.05,9.25,9.25,10
1627791,Ben Bentil,PF,6' 7.25'',6' 8.25'',229.2,7' 1.5'',8' 9'',9.7,9.5,10.0,11
1627762,Joel Bolomboy,PF,6' 7.5'',6' 9'',224.4,7' 1.75'',8' 7.5'',5.15,9.0,10.25,11
1627770,Kay Felder,PG,5' 8.25'',5' 9.5'',177.2,6' 2.5'',7' 4.5'',5.8,8.25,8.5,11
1627779,Marcus Paige,PG,6' 0.5'',6' 1.75'',163.8,6' 6.25'',8' 1'',4.3,7.75,8.75,11
1627772,Daniel Hamilton,SG-SF,6' 6.25'',6' 8'',197,6' 9'',8' 7.5'',5.95,9.0,8.5,12
1627766,Isaiah Cousins,PG,6' 3.25'',6' 4.5'',194,6' 6.25'',8' 2.5'',4.8,8.25,8.75,12
