PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
203500,Steven Adams,C,28.5,33.0,11.85,3.02,3.4,16
203505,Vander Blue,SG,28.0,37.5,10.4,2.7,3.14,4
203485,Lorenzo Brown,PG,28.0,34.0,11.78,3.24,3.4,8
203493,Reggie Bullock,SG-SF,31.0,36.5,11.33,3.3,3.31,11
203504,Trey Burke,PG,29.5,36.5,11.2,3.01,3.16,3
203484,Kentavious Caldwell-Pope,SG,29.0,34.5,10.6,3.2,3.12,7
203477,Isaiah Canaan,PG,33.0,40.5,10.98,2.89,3.22,16
203478,Jackie Carmichael,PF,30.0,32.0,11.83,3.07,3.35,13
203487,Michael Carter-Williams,PG,31.5,41.0,10.68,3.7,3.22,8
12524,Will Clyburn,SF-SG,28.0,34.5,11.68,3.12,3.38,3
203496,Robert Covington,SF-PF,29.5,36.0,11.69,3.1,3.34,9
203459,Allen Crabbe,SG,30.5,36.0,10.67,3.1,3.32,10
203552,Seth Curry,SG,,,,,,
203561,Brandon Davies,PF,26.0,31.5,11.22,3.14,3.5,7
203473,Dewayne Dedmon,C,28.0,32.5,12.75,3.26,3.4,8
203476,Gorgui Dieng,C,,,,,,
203516,James Ennis,SF,29.5,36.5,11.55,3.06,3.4,7
203467,Carrick Felix,SF-SG,32.0,38.5,11.16,3.09,3.25,15
203479,Jamaal Franklin,SG-SF,,,,,,
203497,Rudy Gobert,C,25.0,29.0,12.85,3.19,3.57,7
203462,Archie Goodwin,SG,30.0,36.0,10.75,3.41,3.27,1
203475,Erick Green,PG,,,,,,5
203501,Tim Hardaway Jr.,SG,31.5,37.5,10.68,2.93,3.25,16
203524,Solomon Hill,SF,29.5,37.5,10.77,2.91,3.19,14
203494,Richard Howell,PF,,,,,,
203470,Colton Iverson,C,26.5,30.0,11.52,3.04,3.52,12
203510,Pierre Jackson,PG,,,,,,
203511,Grant Jerrett,PF,28.5,34.0,11.85,3.23,3.51,2
203509,Myck Kabongo,PG,27.5,33.5,10.64,2.86,3.44,2
203483,Kenny Kadji,PF-C,34.0,38.0,11.47,2.88,3.44,9
203527,Ryan Kelly,PF,,,,,,
203499,Shane Larkin,PG,34.5,44.0,10.64,3.03,3.08,12
203495,Ricky Ledo,SG,27.0,33.5,10.72,3.16,3.32,4
203458,Alex Len,C,,,,,,
203466,CJ Leslie,PF-SF,32.5,40.5,10.19,2.79,3.1,
203522,Trevor Mbakwe,PF,30.0,36.5,12.01,2.97,3.32,21
203492,Ray McCallum,PG,30.5,40.0,10.82,3.08,3.25,5
203468,CJ McCollum,PG-SG,32.0,38.5,11.02,2.91,3.32,13
203463,Ben McLemore,SG,32.5,42.0,11.87,3.11,3.27,6
203502,Tony Mitchell,PF-SF,33.5,38.0,11.82,3.25,3.52,13
203498,Shabazz Muhammad,SF-SG,29.5,37.0,10.99,2.93,3.32,10
203513,Erik Murphy,PF,24.5,29.5,12.19,2.96,3.57,13
203488,Mike Muscala,C-PF,28.0,33.5,11.76,2.99,3.44,5
203457,Nerlens Noel,C,,,,,,
203506,Victor Oladipo,SG,33.0,42.0,10.69,3.14,3.25,15
203482,Kelly Olynyk,PF-C,24.5,29.5,11.42,2.99,3.59,5
203464,Brandon Paul,SG,33.5,39.5,11.16,2.9,3.37,15
203658,Norvel Pelle,PF-C,31.0,34.5,11.49,3.2,3.32,0
203486,Mason Plumlee,C-PF,30.5,36.0,10.89,2.76,3.29,14
203490,Otto Porter,SF,27.0,36.0,11.25,3.06,3.4,9
203515,Phil Pressey,PG,33.0,38.5,10.86,3.02,3.13,7
203318,Glen Rice,SF-SG,33.0,40.5,10.99,3.08,3.25,10
203460,Andre Roberson,PF-SF,30.0,36.5,11.36,3.02,3.34,10
203471,Dennis Schroder,PG,30.0,34.0,11.09,2.86,3.21,1
203491,Peyton Siva,PG,33.5,41.5,10.59,2.93,3.16,15
203503,Tony Snell,SF-SG,30.0,36.5,11.36,2.84,3.25,7
203480,James Southerland,SF-PF,29.0,32.0,10.9,3.03,3.38,5
203519,Adonis Thomas,SF,34.5,40.5,11.64,3.11,3.32,13
203472,Deshaun Thomas,SF,28.5,32.0,12.94,3.38,3.53,5
203481,Jeff Withey,C,26.5,29.0,12.49,3.29,3.47,10
203489,Nate Wolters,PG,,,,,,8
203523,BJ Young,SG-PG,,,,,,
203469,Cody Zeller,C-PF,35.5,37.5,10.82,2.69,3.15,17
203919,Jordan Adams,SG,24.5,29.5,12.13,3.05,3.5,
203937,Kyle Anderson,SF,,,,,,
203648,Thanasis Antetokounmpo,SF,31.5,39.5,11.39,3.05,3.18,
203947,Jordan Bachynski,PF,29.0,33.0,12.15,3.03,3.36,
203946,Cameron Bairstow,PF,31.0,33.5,11.39,3.09,3.37,
203920,Khem Birch,PF,30.5,35.5,11.6,3.24,3.26,
203938,Alec Brown,PF,27.0,30.0,12.05,2.91,3.48,
203900,Markel Brown,SG,36.5,43.5,12.62,2.9,3.18,
203913,Jabari Brown,SG,28.0,32.0,11.6,3.26,3.5,
203907,Deonte Burton,PG,29.0,39.5,11.28,3.08,3.28,
203902,Semaj Christon,PG,30.5,36.5,11.55,3.21,3.32,
203903,Jordan Clarkson,PG,33.0,38.5,10.76,2.98,3.28,
203905,Aaron Craft,PG,29.0,32.0,10.78,2.9,3.26,
203908,DeAndre Daniels,SF,26.5,32.0,11.46,3.04,3.44,
203915,Spencer Dinwiddie,PG,,,,,,
203921,Cleanthony Early,SF,34.0,40.0,11.15,2.96,3.18,
203929,Melvin Ejim,SF,29.5,35.0,11.55,3.12,3.14,
203898,Tyler Ennis,PG,29.0,36.0,11.12,2.84,3.3,
203957,Dante Exum,SG,31.5,34.5,10.75,2.88,3.19,
203927,C.J. Fair,SF,27.0,35.0,11.0,3.06,3.32,
203932,Aaron Gordon,PF,32.5,39.0,10.81,2.76,3.27,
203924,Jerami Grant,SF,,,,,,
203798,P.J. Hairston,SG,32.0,37.0,11.12,,3.32,
203914,Gary Harris,SG,,,,,,
203925,Joe Harris,SG,28.5,33.5,11.11,2.92,3.31,
203918,Rodney Hood,SF,29.0,36.0,11.21,3.14,3.38,
203928,Cory Jefferson,PF,33.0,37.5,12.63,3.39,3.36,
203910,Nick Johnson,SG,33.5,41.5,10.8,2.95,3.27,
203930,Sean Kilpatrick,SG,,,,,,
203945,Alex Kirk,PF,28.5,31.5,11.2,3.19,3.48,
203897,Zach LaVine,PG,33.5,41.5,10.42,2.8,3.19,
