PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1629027,Trae Young,PG,,,,,,,1
1629012,Collin Sexton,PG,,,,,,,2
1628983,Shai Gilgeous-Alexander,PG,,,,,,,3
1628970,Miles Bridges,SF,,,,,,,3
1629010,Jerome Robinson,SG,,,,,,,3
1629015,Zhaire Smith,SF-SG,33.0,41.5,11.02,3.15,3.05,10,4
1628978,Donte DiVincenzo,SG,34.5,42.0,10.72,3.12,3.11,12,4
1628989,Kevin Huerter,SG,31.0,38.0,10.89,2.97,3.09,9,4
1629006,Josh Okogie,SG,33.0,42.0,11.08,3.03,3.04,12,4
1628960,Grayson Allen,SG,32.5,40.5,10.31,3.04,3.15,,5
1628988,Aaron Holiday,PG,25.5,33.0,10.96,3.22,3.27,,5
1629014,Anfernee Simons,SG-PG,32.0,41.5,11.27,3.16,3.1,1,5
1629021,Moritz Wagner,C-PF,27.0,34.0,11.48,3.07,3.18,8,5
1629013,Landry Shamet,PG,31.0,39.5,11.26,3.21,3.11,8,6
1628980,Jacob Evans,SG-SF,28.0,35.5,11.11,3.14,3.2,8,6
1629016,Omari Spellman,PF-C,28.5,35.5,12.28,3.35,3.38,8,6
1628975,Jevon Carter,PG,29.0,36.5,11.04,3.05,3.18,14,7
1628973,Jalen Brunson,PG,29.0,37.0,10.59,3.11,3.15,7,7
1629017,Khyri Thomas,SG,30.0,35.0,10.96,3.18,3.18,14,8
1628971,Bruce Brown,SG-PG,32.5,38.0,11.11,3.44,3.2,17,9
1628992,Justin Jackson,PF,,,,,,,9
1628977,Hamidou Diallo,SG,32.5,40.5,10.53,3.14,3.1,1,9
1628966,Keita Bates-Diop,SG-SF,30.5,35.0,11.2,3.28,3.17,11,10
1629002,Chimezie Metu,PF-C,29.5,36.0,11.89,3.25,3.33,5,10
1628993,Alize Johnson,PF,25.0,31.0,11.83,3.28,3.38,8,10
1628974,Tony Carr,PG,25.0,31.5,11.89,3.4,3.17,0,11
1628985,Devon Hall,SG,25.0,31.0,10.95,3.16,3.27,6,11
1629003,Shake Milton,SG-PG,30.0,33.0,11.07,3.19,3.25,2,11
1629034,Ray Spalding,PF,26.0,32.0,11.48,3.2,3.34,12,12
1628987,Kevin Hervey,PF,27.5,32.0,11.28,3.15,3.36,4,12
1628994,George King,SF-SG,31.0,39.0,10.75,3.08,3.29,15,12
1628961,Kostas Antetokounmpo,PF,29.5,35.0,12.48,3.48,3.21,0,12
