PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1630188,Jalen Smith,PF-C,6'9.25'',6'10.25'',224.6,7'2.25'',9'2.00'',3.7,9.25,9.25,2
1630191,Isaiah Stewart,C,6'7.25'',6'8.50'',243,7'4.75'',9'0.50'',7.5,9.0,10.5,4
1630182,Josh Green,SG-SF,6'4.50'',6'5.50'',214,6'9.75'',8'5.50'',6.8,8.0,8.75,4
1630173,Precious Achiuwa,PF,6'7.50'',6'8.75'',234,7'0.75'',9'0.50'',6.7,9.0,10.0,4
1630192,Zeke Nnaji,PF-C,6'9.25'',6'10.50'',246.8,7'2.00'',8'9.50'',5.9,9.0,10.5,5
1630193,Immanuel Quickley,SG,6'2.00'',6'3.00'',185.8,6'8.25'',8'3.00'',8.2,8.0,8.75,5
1628962,Udoka Azubuike,C,6'10.00'',6'11.50'',259.5,7'7.25'',9'1.00'',9.61,9.25,10.0,6
1630179,Tyrell Terry,PG,6'1.50'',6'3.00'',170,6'1.75'',8'0.00'',7.6,7.5,8.25,7
1630177,Theo Maledon,PG,6'4.00'',6'5.00'',187.4,6'8.75'',8'4.50'',2.8,8.5,10.0,7
1630189,Tyler Bey,PF,6'6.00'',6'7.00'',212.8,7'1.25'',8'9.50'',5.0,8.5,9.0,8
1630190,Elijah Hughes,SF-SG,6'4.75'',6'6.50'',229,6'7.50'',8'5.50'',10.2,8.5,8.75,8
1630218,Robert Woodard II,SF,6'5.50'',6'7.00'',230.2,7'2.00'',8'9.50'',4.5,9.0,10.75,8
1630208,Nick Richards,C,6'10.50'',6'11.50'',241.6,7'2.25'',9'2.00'',8.5,9.0,9.0,9
1630186,Jahmi'us Ramsey,SG,6'2.50'',6'3.75'',193.4,6'6.00'',8'4.50'',3.4,8.75,9.75,9
1629670,Jordan Nwora,SF-PF,6'5.75'',6'7.00'',223,6'10.25'',8'8.00'',11.68,8.5,9.25,9
1629604,CJ Elleby,SG-SF,6'5.50'',6'6.25'',198.6,6'7.25'',8'4.50'',4.2,8.75,10.0,10
1630198,Isaiah Joe,SG,6'3.00'',6'4.50'',170.4,6'7.50'',8'5.00'',4.7,8.25,8.25,10
1630219,Skylar Mays,SG,6'3.00'',6'4.00'',204,6'6.00'',8'3.00'',7.4,8.0,9.75,10
1630231,Kenyon Martin Jr.,SF-PF,6'6.00'',6'7.00'',213.2,6'7.25'',8'6.00'',5.9,8.5,8.75,11
1630216,Cassius Winston,PG,6'0.50'',6'1.50'',196,6'6.00'',8'1.00'',9.0,8.75,8.25,11
1630199,Cassius Stanley,SG,6'5.00'',6'6.25'',201.6,6'7.00'',8'3.50'',5.8,8.25,9.0,11
1630203,Grant Riller,PG-SG,6'0.25'',6'1.00'',178.4,6'5.25'',8'0.50'',5.4,8.0,8.5,12
1629617,Reggie Perry,PF-C,6'8.25'',6'9.25'',249.6,7'0.25'',8'10.50'',8.4,9.25,11.0,12
1630223,Jalen Harris,SG,6'2.75'',6'4.25'',193.4,6'7.00'',8'1.50'',4.4,8.25,9.5,12
